trade_date,Open,High,Low,Close,Volume
2026-02-09,710.84,741.64,708.15,728.81,96536.39
2026-02-10,741.01,769.85,732.01,738.26,96601.2
2026-02-11,730.2,739.67,719.55,723.51,55273.11
2026-02-12,724.24,751.07,711.73,746.04,86857.14
2026-02-13,737.66,766.5,733.04,751.53,70569.45
2026-02-24,761.98,765.83,717.68,718.58,81877.09
2026-02-25,724.24,743.7,720.23,726.03,57606.23
2026-02-26,734.41,797.26,716.7,783.8,140838.47
2026-02-27,767.85,812.85,765.38,789.97,121511.65
2026-03-02,771.19,810.45,766.54,799.29,88219.75
2026-03-03,802.71,803.97,757.77,759.82,75371.16
2026-03-04,752.41,776.56,744.37,749.11,58986.95
2026-03-05,770.31,802.05,752.43,783.26,85399.45
2026-03-06,777.9,786.84,769.89,774.46,45234.67
2026-03-09,751.07,760.29,732.96,755.09,60258.4
2026-03-10,770.51,777.9,761.14,769.25,50202.93
2026-03-11,774.54,777.23,733.2,736.99,76210.59
2026-03-12,736.99,751.88,722.81,736.99,62625.27
2026-03-13,745.11,755.8,727.58,735.05,92906.21
2026-03-16,729.65,733.04,702.09,730.93,66956.72
2026-03-17,730.87,751.07,718.22,724.24,55320.89
2026-03-18,726.42,729.61,702.9,714.86,68393.17
2026-03-19,700.78,706.0,692.18,695.43,48852.75
2026-03-20,696.88,714.63,671.28,687.37,101951.62
2026-03-23,672.28,684.35,649.14,651.35,81515.2
2026-03-24,660.54,695.95,650.5,689.71,90596.06
2026-03-25,690.72,712.11,685.99,696.75,89713.88
2026-03-26,697.42,716.66,682.79,687.3,49947.24
2026-03-27,673.95,696.12,673.95,686.7,50422.57
2026-03-30,673.67,680.66,667.21,676.94,52269.18
2026-03-31,671.31,684.0,659.2,659.2,50753.76
2026-04-01,675.97,713.52,675.97,705.07,100009.13
2026-04-02,700.78,706.45,668.5,669.92,70914.66
2026-04-03,677.31,697.42,669.93,687.84,62244.72
2026-04-07,686.02,768.51,684.69,750.4,140829.0
2026-04-08,777.29,783.92,763.14,780.58,104832.54
2026-04-09,777.9,819.62,771.86,803.38,97508.72
2026-04-10,808.07,819.62,797.28,811.9,90036.52
2026-04-13,806.07,839.99,806.01,817.88,78791.42
2026-04-14,821.48,837.45,808.8,832.87,77031.7
2026-04-15,832.89,890.03,830.93,854.35,124298.88
2026-04-16,858.37,881.84,853.02,876.48,77964.84
2026-04-17,871.69,904.96,865.08,894.58,72105.2
2026-04-20,899.28,924.22,889.32,924.22,75195.83
2026-04-21,912.69,917.46,877.15,891.9,81790.94
2026-04-22,883.85,898.59,877.2,896.59,68082.09
2026-04-23,895.9,911.96,869.1,887.2,77187.89
2026-04-24,884.95,945.27,859.43,906.99,124071.44
2026-04-27,905.34,929.45,899.46,909.82,70932.04
2026-04-28,907.85,951.5,907.85,921.74,74535.38
2026-04-29,916.04,952.25,903.21,949.99,90860.07
2026-04-30,989.14,1139.99,989.14,1139.99,178842.65
2026-05-06,1196.88,1318.4,1187.63,1223.85,197805.25
2026-05-07,1223.81,1264.44,1202.25,1252.68,109982.7
2026-05-08,1217.03,1220.0,1158.01,1182.53,191024.42
2026-05-11,1201.0,1205.99,1158.03,1200.0,231721.74
2026-05-12,1199.99,1293.33,1189.81,1277.87,209580.58
2026-05-13,1239.0,1316.88,1236.0,1316.88,158777.71
2026-05-14,1320.0,1350.0,1232.32,1260.58,181138.64
2026-05-15,1234.88,1276.89,1195.88,1209.0,161749.97
2026-05-18,1200.0,1260.0,1183.04,1216.99,125056.36
2026-05-19,1216.89,1326.0,1175.0,1319.2,186351.94
2026-05-20,1300.0,1396.0,1291.99,1362.41,183742.65
2026-05-21,1370.04,1386.0,1285.0,1290.9,153395.09
2026-05-22,1300.5,1319.99,1270.43,1286.0,112239.94
2026-05-25,1321.01,1435.0,1321.01,1406.5,173383.98
2026-05-26,1383.01,1448.01,1375.0,1410.96,153974.69
2026-05-27,1385.0,1412.99,1334.0,1340.0,138029.49
2026-05-28,1361.0,1404.99,1349.01,1391.5,126717.12
2026-05-29,1400.0,1414.0,1295.0,1310.0,145029.89
2026-06-01,1326.0,1326.0,1238.0,1238.0,134896.09
2026-06-02,1246.0,1319.58,1245.0,1300.0,124338.95
2026-06-03,1292.3,1428.01,1291.0,1378.1,165598.05
2026-06-04,1365.0,1400.0,1347.0,1358.9,88415.6
2026-06-05,1342.0,1407.77,1287.34,1299.2,116354.51
2026-06-08,1239.3,1298.88,1230.08,1250.36,114170.55
2026-06-09,1279.0,1285.8,1239.02,1270.01,106731.85
2026-06-10,1300.0,1349.9,1224.17,1231.0,138327.46
2026-06-11,1221.96,1255.0,1199.0,1219.5,111819.93
2026-06-12,1258.0,1260.0,1202.0,1240.0,149765.97
2026-06-15,1253.0,1345.99,1238.88,1335.0,154373.04
2026-06-16,1335.5,1335.91,1297.79,1306.99,99671.79
2026-06-17,1290.4,1329.87,1271.1,1320.0,133225.75
2026-06-18,1319.72,1540.0,1313.2,1507.46,221694.16
2026-06-22,1480.0,1494.94,1420.0,1456.99,150356.73
2026-06-23,1453.0,1506.0,1394.84,1413.0,138375.63
2026-06-24,1402.0,1468.88,1378.0,1453.0,140656.44
2026-06-25,1460.0,1536.25,1436.0,1505.0,159821.84
2026-06-26,1482.0,1518.98,1415.0,1458.0,124352.36
2026-06-29,1462.33,1541.94,1420.0,1482.0,151177.65
2026-06-30,1488.41,1620.0,1488.37,1595.55,162216.28
2026-07-01,1560.0,1588.97,1470.01,1485.33,125802.4
2026-07-02,1410.0,1448.66,1348.0,1372.0,140564.28
2026-07-03,1344.14,1412.0,1340.0,1353.0,101921.84
2026-07-06,1383.0,1389.86,1291.0,1369.75,103683.77
2026-07-07,1355.0,1439.98,1346.06,1388.0,118753.32
2026-07-08,1423.0,1479.31,1400.01,1413.55,117177.27
2026-07-09,1442.7,1548.0,1393.0,1535.01,165449.02
2026-07-10,1542.98,1569.97,1400.0,1400.0,131950.45
2026-07-13,1421.4,1504.96,1363.0,1390.0,164763.72
2026-07-14,1410.0,1425.98,1315.0,1411.0,136598.4
2026-07-15,1420.0,1425.0,1334.0,1347.46,94702.5
2026-07-16,1305.9,1357.77,1261.0,1279.22,132087.18
2026-07-17,1268.0,1278.0,1156.0,1190.58,166501.26
2026-07-20,1240.0,1278.53,1167.0,1209.0,161399.97
2026-07-21,1260.0,1357.46,1208.0,1350.02,171843.83
2026-07-22,1320.66,1382.8,1285.0,1310.0,132757.08
