trade_date,Open,High,Low,Close,Volume
2026-02-11,89.11,89.23,87.83,87.91,65361.75
2026-02-12,87.91,88.14,87.27,87.42,42244.99
2026-02-13,87.43,88.09,87.08,87.2,35822.1
2026-02-24,87.85,88.33,87.45,88.24,30959.33
2026-02-25,88.25,97.06,88.25,97.06,167925.96
2026-02-26,101.79,105.79,98.03,98.3,331912.94
2026-02-27,94.86,96.88,93.58,95.58,170227.81
2026-03-02,93.54,93.56,90.77,91.74,138439.22
2026-03-03,91.61,92.99,89.68,89.75,93560.13
2026-03-04,88.82,90.22,88.59,88.82,67016.73
2026-03-05,89.74,89.94,88.62,89.04,53527.09
2026-03-06,88.84,90.81,88.72,90.75,59614.67
2026-03-09,89.8,90.28,88.7,90.08,50127.87
2026-03-10,90.3,91.12,90.3,91.03,46529.2
2026-03-11,91.83,92.35,90.62,91.12,47667.3
2026-03-12,90.91,90.92,89.7,90.0,43533.42
2026-03-13,89.78,90.32,89.35,89.82,33221.42
2026-03-16,89.72,91.35,89.43,91.06,42999.35
2026-03-17,91.29,91.86,90.2,90.45,42958.55
2026-03-18,90.13,90.42,89.34,90.09,32736.18
2026-03-19,89.37,89.79,88.59,88.79,38776.85
2026-03-20,88.7,89.2,87.52,87.68,38576.44
2026-03-23,86.81,86.81,83.58,83.59,69997.12
2026-03-24,84.77,84.81,83.63,84.68,31090.01
2026-03-25,85.29,86.02,84.95,85.64,29393.84
2026-03-26,85.66,86.04,84.51,84.53,28961.79
2026-03-27,83.68,86.61,83.63,86.35,40762.14
2026-03-30,85.65,86.98,85.49,86.27,32021.21
2026-03-31,86.44,87.79,85.68,85.7,37140.46
2026-04-01,86.92,88.07,85.86,88.0,59400.4
2026-04-02,87.87,88.0,86.55,86.67,47591.27
2026-04-03,86.31,86.31,84.49,84.51,37133.62
2026-04-07,84.52,85.3,83.91,84.7,23993.0
2026-04-08,85.76,86.67,85.53,86.62,48467.33
2026-04-09,86.03,86.3,84.95,84.97,41259.87
2026-04-10,85.1,87.09,85.1,85.83,44978.82
2026-04-13,85.4,85.49,84.87,85.18,29111.44
2026-04-14,85.43,86.94,84.86,86.22,42028.15
2026-04-15,87.46,87.71,86.48,86.59,49004.01
2026-04-16,86.59,87.5,85.87,87.12,44324.7
2026-04-17,87.09,87.82,86.26,86.44,40503.31
2026-04-20,86.23,86.82,85.34,86.81,39450.89
2026-04-21,86.7,88.32,86.2,88.12,59024.99
2026-04-22,86.27,87.42,85.55,86.88,67593.93
2026-04-23,86.97,86.97,85.22,85.45,50050.62
2026-04-24,85.13,85.8,84.7,85.22,33763.74
2026-04-27,85.24,85.43,84.58,84.94,30621.85
2026-04-28,84.84,85.71,84.76,85.43,33196.58
2026-04-29,85.3,85.68,84.83,85.29,32166.29
2026-04-30,85.15,85.23,84.73,84.76,33875.56
2026-05-06,84.75,85.43,84.75,85.22,31846.09
2026-05-07,85.71,87.72,85.18,87.25,72358.42
2026-05-08,87.32,87.53,86.28,86.42,46714.05
2026-05-11,87.21,89.82,86.67,89.82,119053.71
2026-05-12,88.84,89.62,87.83,88.67,77392.42
2026-05-13,88.69,88.92,86.9,86.97,64274.11
2026-05-14,86.92,86.97,85.05,85.12,58464.13
2026-05-15,84.86,85.63,83.83,83.98,49277.71
2026-05-18,83.83,83.87,82.33,82.45,47288.78
2026-05-19,82.53,83.49,82.53,83.21,29463.04
2026-05-20,83.19,83.19,80.65,80.91,52595.82
2026-05-21,80.91,81.61,80.22,80.44,39981.7
2026-05-22,80.73,80.83,78.62,78.84,47176.06
2026-05-25,78.98,81.0,77.75,79.76,49375.78
2026-05-26,79.6,79.6,77.3,77.76,46579.71
2026-05-27,77.4,77.4,74.5,75.81,83160.59
2026-05-28,75.04,75.46,72.7,73.0,65424.04
2026-05-29,72.6,75.72,72.16,73.57,87709.88
2026-06-01,73.0,73.82,72.18,73.15,54620.58
2026-06-02,73.21,73.49,71.3,71.66,62077.44
2026-06-03,71.42,71.62,69.12,69.65,87675.24
2026-06-04,69.3,69.88,67.7,68.1,65121.02
2026-06-05,69.37,69.77,68.12,68.43,53708.53
2026-06-08,67.77,68.2,65.58,66.13,67191.23
2026-06-09,66.35,66.86,65.04,66.21,48722.52
2026-06-10,65.82,66.55,64.9,66.16,67713.12
2026-06-11,65.5,66.33,64.07,64.32,73190.45
2026-06-12,64.66,66.5,63.92,66.5,153885.76
2026-06-15,65.31,66.39,64.44,65.52,91050.81
2026-06-16,65.38,65.9,64.39,64.86,53551.08
2026-06-17,64.69,65.15,63.51,63.79,58159.45
2026-06-18,63.58,65.6,63.01,64.1,68094.85
2026-06-22,63.76,65.2,61.87,65.17,103898.62
2026-06-23,65.2,69.54,65.2,65.68,110145.9
2026-06-24,66.0,67.39,64.8,65.46,94007.29
2026-06-25,65.07,66.36,62.95,65.61,93178.93
2026-06-26,65.2,66.04,62.78,62.8,66586.56
2026-06-29,62.76,68.49,61.09,67.75,154812.1
2026-06-30,67.5,67.94,65.43,66.6,90350.83
2026-07-01,66.3,70.73,65.29,70.27,147503.37
2026-07-02,69.43,71.61,68.93,69.11,116935.57
2026-07-03,69.93,70.38,68.12,68.96,81281.11
2026-07-06,68.8,71.5,67.71,69.46,113703.54
2026-07-07,68.65,68.66,66.0,66.06,93037.41
2026-07-08,66.1,67.56,65.31,65.46,65267.88
2026-07-09,65.1,67.2,64.35,65.89,62840.99
2026-07-10,65.54,71.17,64.5,69.5,147624.4
2026-07-13,69.01,70.14,68.4,69.43,90503.68
2026-07-14,69.2,73.4,68.56,71.6,136643.39
2026-07-15,69.5,75.0,68.85,72.05,175387.34
2026-07-16,71.43,76.88,71.03,75.94,181292.45
2026-07-17,75.1,76.45,72.18,72.48,140768.81
2026-07-20,71.46,74.33,70.78,73.52,105961.79
2026-07-21,72.77,75.97,72.05,75.18,120278.57
2026-07-22,75.18,77.89,74.28,77.44,137596.93
2026-07-23,77.43,82.97,77.0,78.36,186941.36
2026-07-24,77.9,78.99,75.28,75.41,102547.32
2026-07-27,76.29,80.4,76.01,79.8,110183.91
2026-07-28,79.45,80.2,77.5,79.58,101562.89
2026-07-29,79.56,82.25,79.2,81.15,105291.72
2026-07-30,81.17,82.19,79.81,80.49,94247.92
2026-07-31,79.3,82.49,79.09,81.0,88222.8
2026-08-03,81.3,81.41,78.4,78.64,85832.21
2026-08-04,78.41,79.27,76.94,77.17,113913.29
2026-08-05,77.2,77.97,76.42,76.95,81731.07
2026-08-06,77.49,78.0,74.79,75.15,88540.39
2026-08-07,74.84,80.66,74.36,80.51,173661.67
2026-08-10,80.9,83.73,80.5,83.0,133997.81
